index,reward,V_reward,attitude_penalty,wm_penalty,beta_penalty,action_sum_penalty,action_penalty,steps
109,-3915.2175320552856,-1614.0981867026687,-214.639684608957,-1153.1529617335955,-522.1119516636044,-148.69431599436652,-533.5488614219479,2000
110,-552.2242292746557,-579.3600243839685,-48.2948554488881,-657.183816114442,-91.11713445127921,-101.66038928687442,-414.8434398641765,2000
111,-848.206838460078,-711.1128124374947,-16.919642448919593,-732.5637270833835,-220.71098935406292,-293.67251241124256,-475.6566398467619,2000
112,-929.885150498211,-610.412134159157,-97.92783947776815,-751.75581547233,-101.66420729145794,-222.78230908204586,-430.38968976443726,2000
113,-1819.4771506626735,-1178.1850564313538,-83.79156289058724,-764.2686978568444,-309.82913873583755,-212.93488233995538,-523.3294337960477,2000
114,-602.6152867389176,-634.0694672825547,-39.310505248318606,-660.7554901422114,-68.48264247568756,-174.53695336493286,-501.22947305659596,2000
115,-2843.9613542742495,-1371.963488362469,-131.78630704162399,-1046.3518782013002,-778.3690270418374,-24.624079231236973,-511.25662323144275,2000
116,-1776.8793272950718,-1072.077695608417,-136.18102027961015,-900.5318308457636,-161.88182031082883,-205.50186269310194,-528.8328493364462,2000
117,-391.6694936846963,-572.0523007212448,-23.71432560453204,-767.5170406169932,-56.382777041754146,-245.07267104688097,-452.7452950142831,2000
118,-1115.8538873303182,-801.2215045678964,-39.29526938279251,-908.273969924043,-475.96822984512124,-177.9907743497525,-526.5733985146769,2000
119,-778.746937308717,-691.6965614190808,-27.427787842404754,-779.0029787741256,-145.4688354348597,-278.53631501656355,-462.07866690262387,2000
120,-942.4487231541685,-700.0263677193126,-22.098154240115342,-751.8199191274251,-303.5105650370199,-258.9802356423041,-509.9829632001825,2000
121,-1197.4603096228936,-850.069953312521,-85.41015695739422,-886.3473723148221,-148.88885671907514,-192.50859854653513,-520.6891479059982,2000
122,-1009.659022658268,-781.4579296345349,-57.46208031927701,-822.5236047542957,-569.9543308566301,-78.52222033856046,-527.6968221316639,2000
123,-1521.3555165859764,-1058.8407604581337,-47.88768534538291,-841.5478710973842,-454.67471714912995,-117.52709305753288,-542.155810417437,2000
124,-5567.960674170202,-1903.654989819374,-395.9629743780089,-1419.8796591853811,-578.383685999287,-225.02053747609506,-525.0828818051194,2000
125,-1605.2757915679972,-688.3014043101696,-64.04119804248855,-811.1556041459706,-473.6161753275825,-186.8641472584033,-490.6352123396571,2000
126,-443.19255843466533,-729.8056014154158,-29.903314998062097,-635.922149099753,-35.9310868006429,-274.3908282677512,-460.9780011275244,2000
127,-1688.1599356596894,-657.4635452645415,-150.00862344949934,-859.6903641119366,-267.2344437030677,-107.88695167584562,-440.3905397521353,2000
128,-1625.2065629112299,-764.0580149131916,-51.79429775387051,-878.3861013770356,-540.3392836678902,-120.1042784059402,-535.0014683392199,2000
129,-471.85276811787855,-701.8696699976108,-32.76859128116026,-758.2378964324456,-80.37767702002401,-143.73129426864276,-492.2592184782119,2000
130,-5893.221898928445,-1955.5561983034129,-420.1113139004057,-1494.8379941234803,-493.89182300755857,-161.6835473622452,-518.7839867769557,2000
131,-718.0761175266342,-726.6841837859612,-37.75978474642915,-811.7852049930575,-60.41110429345751,-216.7300785799893,-484.295789390244,2000
132,-1011.3313853876857,-645.5246089741387,-35.25839574546269,-737.8043813980227,-347.95981347369576,-144.26111570652307,-461.0489982061384,2000
133,-1739.471305472346,-632.9916095294037,-178.35898203935915,-828.7702609545828,-217.58474969073723,-136.81938062059805,-462.53995551363755,2000
134,-1058.0646683028212,-655.126782888981,-64.98514518290142,-847.1478785935733,-477.43639346835977,-150.66693139444206,-544.7495031147752,2000
135,-1214.9749030336127,-664.2015669811741,-55.253935301115824,-810.3218818967958,-459.74972422236914,-65.4341731061671,-513.1913262996941,2000
136,-1255.3280837974828,-770.5849887444151,-25.816886316285526,-889.4973131589373,-418.469785256828,-172.68269804674287,-500.37158937460987,2000
137,-632.610837645258,-638.0306351715584,-66.76277252050299,-780.9690972772131,-62.175220744212744,-175.41962896546463,-479.04430015856013,2000
138,-1388.0882898104226,-654.0547462417732,-78.11684295473145,-870.894176815197,-266.3272862639033,-126.1408666859646,-466.9025735043828,2000
