index,reward,los_reward,wm_penalty,wm_dot_penalty,safety_penalty,steps
80,-3627.22337377233,-3847.9302777134126,-3.6658085585090534,-13.236828605955065,-114.82286483824487,1655
81,-3411.214081989321,-3623.600284550081,-2.7270878645784333,-9.657693369331454,-108.61961438761448,1550
82,-3329.644100085753,-3512.1804996233263,-2.4723324982948798,-8.246553903025651,-105.97014227893963,1503
83,-3262.0032325320944,-3466.749541978561,-2.4797869808278263,-8.413275312261282,-105.73070043732692,1492
84,-3572.3385946480953,-3785.7440060568306,-4.078682799052691,-12.968889052572889,-111.7695202717483,1645
85,-3424.0335275652415,-3647.9027231469677,-4.374975591781072,-9.495500994432899,-114.62878931868867,1542
86,-3470.8492516029332,-3681.3896978613266,-3.9041664000488363,-9.574654926433874,-117.090505991766,1551
87,-3676.2091060499756,-3895.917404636071,-3.5646184492121433,-9.379646669346128,-120.2366658068911,1686
88,-3679.668457420033,-3887.6975098892635,-4.55893437698188,-15.87228109198896,-121.02926966996705,1742
89,-3365.9967051780072,-3573.0315778895997,-2.5685298843108253,-9.115219530068734,-110.9092808484435,1563
90,-3443.026465472457,-3668.8184272471563,-2.7917024578185488,-9.376884061222917,-114.4268558995395,1532
91,-3741.809542443246,-3967.3156709409996,-3.4123982531412747,-12.808158983977897,-121.36703316342455,1696
92,-3549.8818661107284,-3761.7776884508785,-3.939809770425506,-10.228167009308077,-117.74728560504438,1675
93,-3623.655413637986,-3829.3397868978664,-2.872584419227237,-9.125379270568265,-108.15722991841285,1709
94,-3439.4816961167057,-3650.008929596032,-4.229435638406979,-9.979032295107,-113.3136837434934,1561
95,-3533.813177998231,-3722.0736543399153,-3.5240721041062852,-11.490880139765656,-118.85683243057638,1768
96,-3021.75,-3229.6186885452803,-1.8556218428284512,-5.702928129821853,-106.40558151331852,1343
97,-3129.75,-3347.9677618342475,-2.0835649914015626,-6.37210425609739,-110.25317289128243,1391
98,-2900.25,-3103.9629674546723,-1.7278439186068364,-3.3570353302032268,-102.51680393897857,1289
99,-2887.9616575979476,-3059.857544386913,-1.6439418547888665,-5.338211502827248,-97.02802476453647,1342
100,-3525.687518132565,-3740.7138848710597,-4.554443045769568,-14.386403504183171,-118.13467360706198,1643
101,-2906.8323081449353,-3079.5383867748205,-2.0042895371556027,-6.277968858381351,-101.239465769141,1350
102,-3165.1318762186384,-3365.4054195022363,-3.0124350062274576,-9.995237696750415,-107.49559552249846,1465
103,-2985.75,-3193.6116742547765,-2.0304923922453204,-5.266443870131672,-104.78116258713686,1327
104,-3683.7885054166536,-3913.8331462082924,-4.754490903078128,-9.344456891834303,-120.34352622964369,1659
105,-3160.4210620472495,-3365.828736175826,-3.765240135481685,-8.525218794873,-105.94830241264188,1432
106,-3534.05046491003,-3738.2836204570986,-2.0161626405185284,-7.1014875542494895,-107.15467277268401,1678
107,-3039.859056226236,-3239.170526791525,-2.1591035386388624,-6.198411162552674,-105.24578239147188,1358
108,-3758.0399697992566,-3974.665842922266,-4.572865120778562,-12.078207183393236,-128.8986196699909,1679
109,-3206.0363839893494,-3422.8852872810935,-2.1088967235516565,-6.495270660131897,-109.88884671644254,1425
110,-3441.617350499879,-3642.3412793186753,-2.935168951188205,-10.469028401353329,-105.39119364679668,1596
111,-3265.8532514872245,-3455.5156778944465,-3.8140854171521386,-7.222780957171516,-110.9340677569011,1483
112,-3671.9365515079917,-3897.4045692227146,-3.7468654139915314,-14.244486640688883,-125.91347966047667,1660
113,-3473.433453178645,-3704.7039260888937,-3.346135289582271,-10.934824123170403,-121.56644539704628,1545
114,-3780.693152565117,-3997.287660230763,-4.2467772791508835,-9.959561355848102,-121.86475787142379,1751
115,-3894.198354504035,-4085.9234738373066,-4.030264055220382,-12.154074414636419,-118.55738729969812,1757
116,-3627.938342011718,-3861.13145612192,-3.679067587095068,-12.089343778648724,-118.37107678359348,1637
117,-3358.267323901705,-3568.6310365550075,-4.140678575302419,-8.27653293191238,-116.677835180033,1501
118,-3053.6966411083135,-3253.4962554419476,-1.8292151000653871,-4.918609265858208,-101.37227357963074,1370
119,-3413.2723140584426,-3616.3065475009435,-4.033771422591096,-11.168438749379371,-106.88167343258353,1559
120,-3704.2921255213078,-3937.381470179302,-4.071944004371441,-11.298417417785906,-121.66157052163345,1678
121,-3686.2785236046984,-3923.0769122677034,-2.399855502951185,-7.891142162790325,-124.94153213292851,1659
122,-3258.16340989417,-3462.930637008354,-2.3614011317888655,-8.168735556498271,-105.67769910683197,1469
123,-3301.906596225547,-3466.973244591298,-4.230055178784498,-9.140952014714626,-113.87341820828134,1508
124,-3283.9018142516115,-3487.29731486239,-3.316462847507239,-8.39603769922751,-111.62825606427872,1471
125,-3479.2482657486617,-3686.300104764993,-3.7716821539478875,-11.828038235928041,-117.13939874309516,1648
126,-3748.179112414221,-3977.99914600173,-3.3936440656276297,-11.681937148729395,-128.0378751383842,1705
127,-3841.311012205786,-4067.0601550283964,-5.121322942163791,-15.696298978151665,-122.21819259255427,1810
128,-3024.028396848166,-3226.309511843596,-2.781599621790984,-5.813185139547902,-107.2700192668233,1347
129,-2970.373509726743,-3174.435133391407,-1.6681890554945966,-5.1053625234719435,-104.82401213999935,1321
130,-3443.743670593492,-3649.7124375001677,-3.231338000998308,-10.89763922251612,-115.43540195215168,1540
131,-3159.2042269502804,-3358.614849080585,-2.6045500903897953,-7.147639403239839,-105.98084429977813,1407
132,-2886.75,-3089.5021005347103,-2.2174121926391375,-3.1461864222441216,-102.1554825007857,1283
133,-3143.3566104135234,-3351.4731128773187,-2.1129806282066417,-6.010693456778533,-111.1237900987118,1399
134,-3081.75101652247,-3283.343407696933,-2.2277586011443655,-7.1105560946916455,-102.46034876450268,1384
135,-3143.1395370196838,-3342.0567378546693,-2.4867402873736206,-8.858217320219984,-111.17859082464577,1403
