index,reward,range_reward,closing_reward,los_yaw_rate_reward,los_pitch_rate_reward,vertical_attack_reward,gimbal_center_reward,terminal_reward,steps
159,-8885.218510610961,-2999.9999999990728,-441.16396091693025,1365.792650004606,1875.2589572611455,-2.3636896893530746,860.8964646813207,-9000.0,3000
160,-8969.13598975927,-2999.9999999994607,-304.758080198861,1239.2532793023972,1610.505525782482,9.688804151783454,381.89911705566783,-9000.0,3000
161,-8979.768449930521,-2999.9999999994134,-413.0873160170397,1206.6217793261274,1658.9153364935808,-1.0313314122879924,634.9346251595852,-9000.0,3000
162,-8900.435426097325,-2999.999999998898,-439.7332428761788,1331.7047110519889,1857.299800304819,-6.396319372809702,807.5820280877898,-9000.0,3000
163,-8951.469157125559,-2999.999999999344,-333.84675855588864,1242.7939671187585,1650.9480082949515,56.95033314871076,569.2191502708555,-9000.0,3000
164,-8908.606402341155,-2999.9999999993665,-443.8040063585408,1328.1543895460243,1820.2586378987353,18.459908162362243,808.8288356357475,-9000.0,3000
165,-9045.086741106232,-2999.999999999545,-409.392134945591,1179.7872814243337,1461.8770539716181,5.330995719129335,372.69662427384753,-9000.0,3000
166,-8935.5608824438,-2999.9999999993333,-395.1682209421019,1255.8589491544753,1759.1890860512717,12.472127549949084,688.4149875558577,-9000.0,3000
167,-8987.55664645232,-2999.999999999448,-352.47997757496523,1164.7599584349146,1659.9117577035445,-16.507157471947295,415.3610407905466,-9000.0,3000
168,-8925.435696055776,-3000.0,-353.07546866214614,1122.2449243887395,1899.6193362250497,-91.17820524392921,863.4562880044167,-9000.0,3000
169,-8931.80562281634,-3000.0,-349.67150968670427,1140.4675565874375,1868.299757112879,-92.8943988591375,786.0164821264866,-9000.0,3000
170,-8949.734137880974,-2999.9999999999995,-355.5463165590402,1133.3542339970184,1816.5404897209594,-77.51973820878744,707.4843644347989,-9000.0,3000
171,-8918.119198116741,-3000.0,-318.7988517005703,1152.7612821996242,1878.6534454798655,-93.40717364746956,803.8741802613031,-9000.0,3000
172,-8942.140739595501,-2999.9999999999995,-387.5139785005184,1181.7378814967597,1828.3186739802038,-63.050773566894286,695.0823857368663,-9000.0,3000
