index,reward,path_reward,turn_reward,rate_reward,attitude_reward,beta_reward,alt_reward,vup_reward,speed_reward,progress_reward,action_penalty,beta_penalty,safety_penalty,steps
44,-12.642593438432542,321.4346862225903,529.0076477138019,466.96522296049244,506.79192909035885,269.2262686289821,295.6182271585479,423.5072163513757,547.7870940569271,31.827156172675615,-139.09355718888204,-120.02318803398207,174.083251343578,800
45,90.83216846954586,556.8910795304317,565.1819261927895,520.5618870181107,441.9638142737572,363.5703434290561,130.00534953416272,284.2654428617548,666.9228009165887,140.9558010236839,-137.05965473817776,-67.79003039908396,333.6990212502128,800
46,-232.9551949462995,122.99069044239569,317.8709737574643,386.32710062744025,340.8001339175797,273.7079062537871,279.9971734819547,195.83087988937802,687.5656295840123,369.04099430596165,-124.42385566872785,-114.90708383285637,337.7083250726554,800
47,34.76234234174619,384.2397747684528,430.07497601960785,399.3695684965462,427.9199140701496,233.4866190499905,326.43392224237084,311.23847231627735,601.1451770924493,62.0814181305225,-119.51832467615463,-125.541080713183,150.8822965968971,800
48,-187.68490743069611,155.03652861141939,325.47186700816695,408.86118224764635,255.67466823699465,267.50814545311715,67.36917122393172,143.6451411152945,708.2423800769011,17.081513918692288,-115.62410013151072,-120.94300056429923,78.70825959778416,800
49,54.825873094745695,465.15911800227764,626.1397495587483,512.7809583802167,639.3894156647435,288.53926763704874,363.6356122051679,414.29621404407163,490.9993406864754,72.2371990893149,-138.56867203112003,-115.39389490949901,356.2925932553559,800
50,207.09487279186357,540.9154115601458,590.6751219519138,443.91517000256084,461.4245928409593,239.80406375898608,201.44728079622217,141.73797331758988,647.9492100408023,76.77560571700515,-126.51888613719544,-130.377717208261,17.90389062311738,800
51,74.18442185420723,477.35801344546564,566.7103499602588,447.13180678871754,415.1502292512203,272.08217413128114,83.56261905255721,30.447134276937515,570.0261184670626,80.27021846578866,-126.33333640099634,-122.95466412973455,27.691318392862588,800
52,45.55569969597551,608.9310634958035,634.5119253898112,519.899073477163,394.4362953154268,310.4111775554929,20.272098391330914,49.55375526468617,623.2923984435669,44.766600428619164,-132.8676499590455,-98.11108846286649,268.91973352622625,800
53,-225.31755842158188,474.96132406622735,537.8038620146649,408.51816579230064,403.76496798046657,242.4317906476906,103.43869487055464,84.72039326781577,475.52717819882247,133.3630997736988,-147.18566632478925,-128.3028900631798,530.154739073083,800
54,-159.44952965344046,565.8487857192786,607.6930780803899,461.35290666773864,524.802150116091,260.67613298729253,343.01854490336973,390.94863964870376,507.88714642629174,88.88611618637847,-151.71054360464143,-127.67963914743883,656.9632437113504,800
55,-64.48505582496603,436.318508090558,546.8809439432258,441.4586244005168,427.76502373740914,278.3505211686734,171.24358166237158,190.96155912825895,649.5277722245379,92.57041102973793,-136.09557042665242,-116.64387846251489,408.30506490107825,800
56,108.4746461639511,622.7564420943023,644.0429656821821,514.4767568395912,650.7470845768271,280.15037767632816,227.55393222692646,650.1540888697268,471.59301547041173,142.74861473469613,-134.78617450803628,-117.46944645359594,231.96338774467992,800
57,113.86833946174673,371.8453204129912,490.9930646127576,548.8010862278934,412.09746396469234,479.48953264708393,117.73518942837981,326.0561559317111,683.7636472371846,104.67171959436227,-115.10459220717881,-33.752839684158815,114.74572910501941,800
58,-212.55616542247705,212.14492489135736,309.3191458106063,390.1485041069983,297.5585873012416,305.03045318230585,59.343448931113166,161.46861652034576,610.3472601950791,10.923402084770997,-115.25436264977897,-97.32243203546913,149.1728205829008,800
59,-90.12180054496112,514.6226518695152,508.04629843745795,451.21500473394565,381.9798183217121,314.2486757696708,4.981151208085926,14.20559834097731,568.2401280000713,139.43195478196182,-117.8199062707673,-82.12473659984695,259.042940555066,800
60,25.1863612433163,568.2600275412464,576.5300009760888,421.2688123017884,517.3106739488792,208.5623816914902,273.4153455582554,121.13959588444578,702.8470185351258,96.84202851717025,-122.3154084533892,-128.87333405227486,312.16727539461334,800
61,-14.10052428848799,485.7320182176687,632.1551545030156,514.7579718892447,398.3121670240782,286.904153286341,6.918569846519149,19.747061554382867,612.8780889117617,147.49170902018847,-145.1511406563582,-112.98265000465395,121.86601938037079,800
62,-465.7077751034178,145.73118205442742,439.8168138745154,440.34719785043853,363.6609476413637,294.96824862169916,215.61343548661196,144.4124839588735,549.0149280067033,10.601566330247861,-112.99835457328112,-100.50234457442343,732.7198085050692,800
63,-64.31521808442636,549.1067110535005,563.7065257144816,440.4119077538901,358.5905097576188,282.7884152523434,9.423964164110497,26.895811705787708,553.7028758509174,191.25894039238264,-155.81203971418043,-119.11991747412205,133.3371583607791,800
64,-1614.4227001580284,462.3030421339469,507.42718980518214,498.4096118942022,425.27928699310513,375.1850259360848,318.80600501017005,300.6265407974789,640.1645896064183,97.9442481933381,-112.44134955396785,-69.43154689231037,3247.472014309965,800
65,165.97277496573264,597.40900654341,647.0717903801309,560.8095804169983,626.3561942392547,330.3553955239001,319.9307143458145,685.8990743971231,485.8227136938221,102.72149269616114,-140.23070612458505,-92.7112994562756,274.1486697149364,800
66,144.15113925371296,629.4513591154555,650.6921030592407,504.57667629933536,638.2181825558955,249.53291991627103,330.4033281926039,616.3210178034951,462.86678611653355,127.16084458634502,-148.55500244333714,-125.95144474736932,281.45480044956867,800
67,-86.73454283134338,436.63595831397095,528.9992556959695,422.83081775740715,402.8422327418589,221.11904341311936,186.66451445964898,149.3801822988019,574.3965806277455,154.27326162192756,-128.10258650948117,-130.54297055070052,288.9514389767665,800
68,-27.321729300517177,434.66988121360686,635.629523299129,547.0943497731411,436.4781414970975,335.58769017840206,155.2195639938315,169.6459363569798,569.439920804098,93.92022047510407,-138.4400194282202,-93.59659810079003,218.1639661354143,800
69,-39.76810967439448,543.2314756310598,632.2481501137336,519.4401650852543,429.19479363309716,324.50930918991185,70.08038635310903,200.12253986613243,574.2224449305987,162.57495776907157,-162.5457499792373,-93.2978005902112,256.95305233014165,800
70,19.146486862569674,450.8819690658405,561.1807654812184,465.98316709534316,451.70862368179104,265.72322786715137,109.74456357403382,228.8793516755343,712.1559755794763,184.40762900624426,-122.49361946063628,-117.79431993249514,252.33111808132463,800
71,372.3491615661597,597.0553270901609,589.0883396008473,516.3347070159504,529.5003191992564,284.36386773319185,339.14604678599983,388.5485087847269,676.2357002565004,102.74602823214744,-122.77536000824435,-107.61532800367243,13.154333669895315,800
72,129.85545165187878,606.924391571559,654.2492582352702,514.2555945124969,557.0148349413955,278.70777677592787,333.48757209658487,414.3519005451884,459.23690454452264,90.42996492432304,-144.78862525336703,-113.51862945187052,224.17276125374772,800
73,153.99268093934973,440.2122820887635,493.71667477554837,472.9380466883785,560.1287413034205,256.6157795356952,273.49524018215317,728.1964287193834,598.4264497635288,27.94267622035731,-135.05973174940286,-129.78744285686832,17.312085606778048,800
74,-237.2277732195142,96.02201963180627,477.6108657683044,442.6063044913404,363.75020583144214,304.8534248448481,30.708556350583336,87.30764466701469,623.2854069477555,216.92546413138834,-126.57092826485463,-110.65797243744463,109.7808592777721,800
75,-97.16405766900932,450.8992498758845,559.3618998508373,468.85075589372315,436.06900239029505,281.31074174510843,271.18339341196247,134.76294392313017,597.5206022754426,159.85363998271004,-129.9025800232116,-114.02464408736768,466.5537077093192,800
76,-334.5917046265274,524.5179059593041,567.1114596871371,455.2378613961546,467.3401993553132,256.27397969217526,109.20668185748677,239.3524458124858,644.7883970421914,70.65168732262552,-137.21354310822022,-122.74069686319335,788.3217013185725,800
77,-473.5342837371344,115.38984787096726,491.16752327758894,438.1042302069238,478.45224187491766,269.30359033106174,269.2634657526783,322.81687847892726,472.58602434212986,234.95961679808357,-131.17031069916862,-116.86111736469431,789.4995237577749,800
78,-180.38481873673186,431.30321831019234,504.1860630392975,457.40783350257993,389.87198823862013,278.01124546315583,52.08501688482704,148.6838086657062,619.2496761009135,101.81540447165415,-106.51284715937821,-102.42422708691149,452.3828181257212,800
79,152.03647375098979,560.1621778094759,592.9208041396457,510.0127289234539,541.6542012601541,356.49983565097796,487.26407697457125,521.320740644612,237.69090747290602,141.57252300742712,-130.74297494298034,-78.457664238238,124.45644562801195,800
80,-52.63772917189513,280.96847232548106,441.4966363292487,505.47270994585244,394.41658020296484,427.8885894362654,128.96865939843948,281.221411651959,657.323624735207,163.94922088645683,-106.40389245487476,-47.463771369339135,303.19157844807023,800
81,68.01690034134513,641.8022443935452,654.1202771100806,510.84091125220715,383.4021247719816,291.2859914129597,120.86651375022457,65.45339900956738,537.3450143213486,58.44732677677264,-153.5923598034884,-113.81826522229838,134.78376139265902,800
82,-23.011662710338015,240.82085447515877,495.3445867094762,500.0358727262542,348.7794446760788,301.21342379799944,153.80596998715833,74.42612459414633,675.096824973516,51.81668929047155,-112.00563533167778,-97.87342098741237,93.85055659664201,800
83,67.58621347289171,567.3716427960225,655.032087822359,568.4326887532901,482.5736726433403,361.8943106082131,259.7576675669045,357.903521380889,562.5536112264172,126.70202928542517,-111.2560699571444,-77.76254532342683,429.73534331133806,800
84,202.8033897232886,631.666915060056,642.5366273762477,482.01919982929354,476.2152257457463,261.48181209482397,219.22960888957238,162.39545992117442,571.4993909528717,97.37218928075978,-144.95033844284188,-124.75084226480632,61.90628699241236,800
85,-255.00032268115672,301.109629345597,459.1476673013414,438.5794568343953,369.3108228817001,284.71172632278615,105.93086259141351,102.87513608675363,609.1651342173443,148.13029507853656,-147.14965960690623,-115.55472516504577,324.28566598306526,800
86,237.87524765412658,582.9987345305601,667.2649079287144,561.4243783963622,422.5309211204151,322.16171649880647,99.84316909802881,62.567148156329935,636.6867875498625,83.9223701120125,-134.4652540662947,-88.99532573693489,29.698238905668525,800
