index,reward,los_reward,body_rate_penalty,body_accel_penalty,steps
121,1816.8124091679467,2126.6545918167108,-49.13501930452153,-105.40793271612112,759
122,22.89391496899484,30.825727863111396,-5.918460170656034,-8.335717408133318,96
123,398.0769637732779,476.3461545141354,-12.154851985063843,-34.18912678227526,300
124,121.18541856367594,146.72287746131252,-4.982696780973019,-11.804260924081998,117
125,573.813386562329,683.5770301076207,-16.29984895676186,-43.022963858968566,362
126,404.18317096736024,495.7877031551769,-14.92010187505237,-32.41650869024995,282
127,1163.825555024182,1382.2556655184233,-33.31783016228361,-76.3260216569765,580
128,1688.18544700702,1969.83363281339,-47.760520663075944,-99.45959200586076,724
129,1163.6437018188278,1380.531365843531,-33.796282121559734,-75.21106372002438,575
130,1132.3795527620707,1334.6242745101977,-32.82792252067117,-74.89066900264346,569
131,1083.5975233856514,1288.348901681635,-32.71938957247491,-67.77025647442873,522
132,1846.0101326670135,2165.8150114646037,-50.05765538406204,-109.18317003095581,788
133,1356.8395880518995,1599.1891604990892,-33.87827646803796,-84.84304208651885,634
134,1625.2567058328214,1904.866851178167,-39.963571108987296,-96.07496174843145,707
135,1474.9987587673102,1739.1182865803958,-42.467259782627266,-92.84622271809181,686
136,775.2613997580045,927.0599766820258,-23.407534819229436,-54.4695157142502,442
137,717.8871287472662,859.7202832284548,-24.926155881563588,-48.29200389684214,385
138,948.1402661205854,1126.3248729753836,-24.686309795213003,-63.560647825009234,498
139,645.3989747964139,775.0036821877767,-20.108734279020794,-47.13989998642479,401
140,707.9470975943225,835.6492968083832,-21.09184394073735,-51.928378863634336,425
141,893.5060958887476,1056.7278003540391,-27.20929613266596,-61.124979834211516,483
142,1240.0836889268633,1459.085589668302,-26.727136119482342,-75.30272791629899,568
143,361.2012299276464,436.77971209274153,-9.114934386236214,-26.891205136696524,240
144,827.2384296954073,991.6638906633199,-26.249366331125692,-55.83263800905112,447
145,1838.2042395888443,2145.9597988471355,-45.98655335092049,-107.43999508548087,774
146,1895.4841637978393,2226.234809201963,-54.15883307903886,-110.0959612715316,791
147,465.9161988150781,568.356971582636,-14.763427191821997,-34.359748564607216,291
148,1391.0264243808215,1634.3512974059704,-36.48720313563651,-86.2844088216406,638
149,1160.1013539959367,1362.669314155699,-31.451282048828414,-75.02660140370845,570
