index,reward,los_yaw_reward,los_pitch_reward,range_reward,range_response_reward,body_rate_reward,action_smooth_reward,terminal_event_reward,steps
49,-10830.577309755976,3000.0,-2952.587240575792,3000.0,-1816.3853245458492,-2492.290584117043,1246.2675317291125,-11622,3000
50,-11146.833620453524,3000.0,-2952.5954481754025,3000.0,-1763.9643533472304,-2552.8994427234775,1297.5381234632528,-11940,3000
51,-10497.428706966535,3000.0,-2952.345600777776,2999.3230769230768,-1901.6413583726467,-2419.176657188307,1220.2024250255663,-11286,3000
52,-10517.732673527222,3000.0,-2952.599402550227,2991.7846153846135,-2290.4903048521655,-2553.5424971680345,1164.9588216792638,-11274,3000
53,-9218.601517244577,3000.0,-2952.6021932741364,2998.184615384615,-2358.2835756456593,-1865.605505344278,1246.6671336661052,-10002,3000
54,-10768.214192114936,3000.0,-2952.5311460314097,2999.5692307692307,-2251.4461067021607,-1968.574432010382,1328.1682651389347,-11556,3000
55,-9113.011046507148,3000.0,-2952.5604355849623,2611.1408348544646,-2134.816538703088,-2667.4583874757777,1951.5281086656378,-9768,3000
56,-10992.904201512321,3000.0,-2952.6589777349095,2999.846153846154,-1919.9128487157461,-2319.2953376580354,1198.1243372202032,-11784,3000
57,-11006.697316926595,3000.0,-2952.543938202957,3000.0,-2242.4807656631942,-1961.885835653184,1057.0511566579437,-11790,3000
58,-10381.078186882425,3000.0,-2952.6353611661493,2999.723076923077,-1932.521923826404,-1432.73867995255,1255.7303279120356,-11208,3000
59,-11333.550573318304,3000.0,-2952.6129176074955,3000.0,-2046.0180998085498,-1311.7451761773764,1125.8226924958403,-12156,3000
60,-10373.153023785757,3000.0,-2952.659846511352,3000.0,-1924.2499592463287,-1693.962036022922,1245.580333451789,-11190,3000
61,-10423.364787386707,3000.0,-2952.5057656011036,2996.1538461538453,-2256.3101319066745,-1642.3496815018998,1187.0209558611386,-11220,3000
62,-9854.902190082345,3000.0,-2952.541296077046,2990.399999999998,-2147.0537182865296,-1638.4136135695785,1167.1396915745781,-10656,3000
63,-9805.712839803125,3000.0,-2952.6174333349936,2997.5076923076917,-2477.2508020522578,-1819.3334772847077,1266.5332487165979,-10584,3000
64,-11744.878213291431,3000.0,-2952.346301592858,2984.861538461535,-2354.040976489188,-1878.371353351906,854.7110932736565,-12516,3000
65,-11634.13862351536,3000.0,-2952.5685285029035,2538.0549944041068,-2203.926804774235,-1503.971008450942,945.0079028096084,-12288,3000
66,-11696.694534789867,3000.0,-2952.4514633230424,2984.3999999999965,-2431.2198950598026,-1877.3356581844146,802.427830670551,-12462,3000
67,-10931.115660410169,3000.0,-2952.529688997227,2976.861538461533,-2340.661425833419,-2291.367188099324,1059.6260207466196,-11688,3000
68,-11856.933984126981,3000.0,-2952.5494677551865,2955.0461538461436,-2579.280684811272,-2316.0871622542127,1183.3703821916656,-12594,3000
69,-11693.19638940385,3000.0,-2952.3826368461664,2984.6461538461504,-2401.280374424248,-1817.284061094314,762.37341665583,-12462,3000
70,-11741.606129006635,3000.0,-2952.5108518327233,2967.384615384608,-2548.61136878524,-2343.4653931163252,1014.4782231980595,-12480,3000
71,-12025.602263401963,3000.0,-2952.440484055822,2984.061538461535,-2406.1475286272725,-1878.6332364422492,789.6589803183622,-12792,3000
72,-11605.526178086653,3000.0,-2952.434993711467,2984.1538461538426,-2394.9164114885016,-1770.4279841047842,841.79476417613,-12378,3000
